symbol_x,date,title,source,text,join_symbol,symbol_y,open,high,low,close,volume,symbol,date_fund,market_cap,current_price,high_low,stock_pe,book_value,dividend_yield,roce,roe,face_value,return_label
ITC,2025-12-26,"Bitcoin stays near $89,000 amid thin year-end trading. Here is what experts say",Economic Times,"Bitcoin stays near $89,000 amid thin year-end trading. Here is what experts say

Bitcoin hovered around $89,000 on Friday amidst low year-end trading volumes. Price action remained rangebound as liquidity drove market direction. Analysts noted ETF inflows and stablecoin supply influenced movements. Altcoins showed mixed performance. Experts advise a patient, risk-managed approach until stronger institutional participation emerges. Global macro developments also impacted crypto's link to monetary policy.",ITC,ITC.NS,406.5,407.1499938964844,403.8500061035156,404.1499938964844,3152453,,,,,,,,,,,,0
Reliance Industries,2025-12-26,Tata vs Reliance Industries vs Adani: Which conglomerate made stock market investors richer in 2025,Economic Times,"Tata vs Reliance Industries vs Adani: Which conglomerate made stock market investors richer in 2025

Tata Group experienced a significant market value erosion in 2025, underperforming rivals like Reliance and Adani. Key drags included sharp losses in Tata Motors Passenger Vehicles and Tata Consultancy Services, despite some bright spots. Investors now await a turnaround in 2026, focusing on earnings visibility and execution.",RELIANCE,RELIANCE.NS,1554.699951171875,1561.0,1554.300048828125,1559.199951171875,2311495,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
HDFC Bank,2025-12-26,"PSU banks are quietly eating private banks’ lunch? Motilal Oswal says HDFC Bank, ICICI Bank, SBI and AU Bank matter most",Economic Times,"PSU banks are quietly eating private banks’ lunch? Motilal Oswal says HDFC Bank, ICICI Bank, SBI and AU Bank matter most

PSU banks gain MSME and home loan share, but Motilal Oswal backs HDFC Bank, ICICI Bank, SBI and AU Bank as cycle stabilises.",HDFCBANK,HDFCBANK.NS,996.0,997.2000122070312,987.7000122070312,992.0999755859375,9360853,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,0
Reliance Industries,2025-12-26,"India bonds may continue gains, demand at 2025's last debt auction eyed",Economic Times,"India bonds may continue gains, demand at 2025's last debt auction eyed

Indian government bonds are poised for gains as the central bank's substantial liquidity infusion boosts investor sentiment. The RBI's move to inject nearly 3 trillion rupees into the banking system is expected to support bond prices and maintain optimal liquidity. This intervention aims to alleviate concerns about rising borrowing costs.",RELIANCE,RELIANCE.NS,1554.699951171875,1561.0,1554.300048828125,1559.199951171875,2311495,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-26,Jio Financial Services Share Price Highlights: Jio Financial Services Stock Price History,Economic Times,"Jio Financial Services Share Price Highlights: Jio Financial Services Stock Price History

",RELIANCE,RELIANCE.NS,1554.699951171875,1561.0,1554.300048828125,1559.199951171875,2311495,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
ICICI Bank,2025-12-26,ICICI Bank Share Price Highlights: ICICI Bank Stock Price History,Economic Times,"ICICI Bank Share Price Highlights: ICICI Bank Stock Price History

",ICICIBANK,ICICIBANK.NS,1356.5,1362.0,1348.5,1350.4000244140625,2812144,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
HDFC Bank,2025-12-26,HDFC Bank Share Price Highlights: HDFC Bank Stock Price History,Economic Times,"HDFC Bank Share Price Highlights: HDFC Bank Stock Price History

",HDFCBANK,HDFCBANK.NS,996.0,997.2000122070312,987.7000122070312,992.0999755859375,9360853,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,0
Infosys,2025-12-26,Infosys Share Price Highlights: Infosys Stock Price History,Economic Times,"Infosys Share Price Highlights: Infosys Stock Price History

",INFY,INFY.NS,1663.4000244140625,1668.800048828125,1651.699951171875,1656.0999755859375,2006491,INFY,2026-01-02,665352.0,1641.0,1983,24.8,223.0,2.62,40.6,30.3,5.0,0
Reliance Industries,2025-12-26,John Cockerill bulk deal: Ramesh Damani buys Rs 13 crore stake as promoter pares holding by Rs 91 crore,Economic Times,"John Cockerill bulk deal: Ramesh Damani buys Rs 13 crore stake as promoter pares holding by Rs 91 crore

Ace investor Ramesh Damani has picked up Rs 13 crore worth of John Cockerill India shares in a bulk deal on Friday, while promoter John Cockerill SA offloaded Rs 91 crore worth of stock. The shares were purchased at a price of Rs 4,704.45 apiece, a 1% discount from the Wednesday closing price of Rs 4755.40 on the BSE.",RELIANCE,RELIANCE.NS,1554.699951171875,1561.0,1554.300048828125,1559.199951171875,2311495,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-29,The tenuous peace between Trump and the $30 trillion US bond market,Economic Times,"The tenuous peace between Trump and the $30 trillion US bond market

Since President Donald Trump's 'Liberation Day' tariffs pushed the U.S. bond market into revolt in April, his administration has carefully tailored its policies and messaging to prevent another flareup. But the truce remains fragile, some investors say. A reminder of that fragility came on November 5 when the Treasury Department signaled it was considering selling more long-term debt. The same day, the ‍Supreme Court began hearing arguments over the legality of Trump's sweeping trade tariffs. Benchmark 10-year bond yields, which have fallen steeply this year, spiked more than 6 basis points - one of the biggest jumps in recent months. With the market already uneasy about the size of U.S. federal deficit, the Treasury proposal stirred fears among some investors of upward pressure on long-dated bond yields. The Supreme Court case, meanwhile, raised doubts ⁠about a major source of revenue to service the $30 trillion pile of government debt held by the market. Citigroup analyst Edward Acton called the moment ""a reality check"" in a November 6 daily report. Reuters spoke to more than a dozen executives at banks and asset managers overseeing trillions of dollars in assets who said that beneath the relative calm of bond markets in recent months a battle of wills is playing out between the administration and investors concerned about the persistently high U.S. deficit and debt levels. Reflecting those worries, the so-called ""term premium"" - the extra yield investors demand for holding U.S. debt for 10 years - has once again started to rise in recent weeks. ""Bond markets' ability to terrify governments and politicians is second to none, and you've seen that in the U.S. this year,"" said Daniel McCormack, head of research at Macquarie Asset Management, referring to April's bond crash which forced the ‌administration to temper its plans for tariff increases. Over ‌the long term, the failure to resolve strains on public finances can create political issues as voters grow ""persistently disappointed with government delivery,"" McCormack said. Treasury Secretary Scott Bessent - a former hedge fund manager - has repeatedly said he is focused on keeping yields down, especially on the benchmark 10-year bond, which affects the cost of everything from the federal government's deficit to household and corporate borrowing. ""As Treasury Secretary, my job is to be the nation's top bond salesman. And Treasury yields are a strong barometer for measuring success in ‌this endeavor,"" Bessent said in a November 12 speech, noting borrowing costs were down across the curve. The Treasury did not respond to a request for comment for this story. Such public messaging and behind-the-scenes interactions with investors have convinced many in the market the Trump administration is serious about keeping yields in check. Some unwound bets over the summer that bond prices would fall after the Treasury proposed increasing purchases under an ongoing buyback program meant to improve market functioning, data shows. The Treasury has also discreetly sought investors' opinions on major decisions, with one person familiar with the matter describing them as ""proactive."" In recent weeks, the Treasury consulted with bond investors on five candidates for the Federal Reserve chair role, asking how the market would react to them, the person said. They were told it would react negatively to Kevin Hassett, director of the National Economic Council, because he is not perceived as independent enough from Trump. Several investors said they believed the Trump administration has merely bought itself time with such steps and, with the U.S. still needing to finance an annual deficit of around 6 percent of GDP, risks remain to peace in the bond market. The administration is keeping bond vigilantes - investors who punish government profligacy by driving up yields - at bay, but only just, these market experts said. Price pressures from tariffs, bursting of an artificial intelligence-led market bubble, and the prospect of an overly accommodative Fed pushing inflation higher could all upset the equilibrium, investors say. ""The bond vigilantes never go away. They're always there; it's just whether they're active or not,"" said Sinead Colton Grant, chief investment officer at BNY Wealth Management. THE VIGILANTES ARE WATCHING White House spokesman Kush Desai told Reuters the administration was committed to ensuring robust and healthy financial markets. ""Cutting waste, fraud, and abuse in ‌runaway government spending and cooling inflation are some of many ‍actions by this Administration that have increased confidence in the U.S. Government's finances and reduced 10-year Treasury yields by nearly 40 basis points in the past year,"" he said. The bond market has a history of punishing fiscally irresponsible governments, sometimes costing politicians their jobs. Most recently, in Japan, Prime ‍Minister Sanae Takaichi has grappled with keeping bond investors happy while trying to further her agenda. When Trump began his second term, several indicators watched by bond traders were flashing red: total U.S. government debt ‌stood at over 120% of annual economic output. Those worries flared after April 2 when Trump imposed massive tariffs on dozens of countries. Bond yields - which move inversely to prices - saw their steepest weekly rise since 2001, as bonds sold off alongside the dollar and U.S. stocks. Trump backed off, delaying the tariffs and ultimately imposing them at rates below what he initially proposed. As yields retreated from what he described as a queasy moment, he hailed the bond market as ""beautiful."" Since then, 10-year Treasury yields have fallen over 30 basis points, and a measure of bond market volatility has recently fallen to its lowest in four years. On the surface, it seems that bond vigilantes have gone silent. SIGNALS TO THE BOND MARKET One reason for the silence, the investors said, is the resilience of the U.S. economy, with massive AI-led spending offsetting the drag on growth from tariffs, and with a Fed in easing mode because of a slowing job market; another is the steps the Trump administration has taken that signal to the market that it doesn't want runaway yields. On July 30, the Treasury said it was expanding a buyback program that will reduce the amount of long-dated, illiquid debt outstanding. The buybacks are meant to make it easier to trade bonds, but because the expansion was focused on 10-, 20- and 30-year bonds, some market participants wondered whether it was an effort to cap those yields. The Treasury Borrowing Advisory Committee, a group of traders who advise the agency on debt, said there was ""some debate"" among its members whether it could be ""misconstrued"" as a way to shorten the average maturity of outstanding U.S. government bonds. The person who is familiar with the matter said some investors worried about the Treasury taking unconventional steps, such as an aggressive buyback program or reducing the supply of long-dated bonds, ‍to limit yields. As these discussions were going on over the summer, short positions - bets that long-dated Treasury bond prices would fall and yields would rise - fell, data shows. Short bets against bonds with at least 25 years of remaining term to maturity fell sharply in August. They have been ramping back up in the past few weeks. ""We're in this age of financial repression with governments using various tools to artificially keep a lid on bond yields,"" said Jimmy Chang, chief investment officer of the Rockefeller Global Family Office, part of Rockefeller Capital Management, which manages $193 billion in assets, calling it an ""uneasy equilibrium"". The Treasury Department has ‍also taken other steps to support the market, such ⁠as leaning more heavily on short-term borrowing through Treasury bills to fund the deficit instead of increasing supply ⁠of long-dated bonds. It has also called on banking regulators to make it easier for banks to buy Treasury bonds. JPMorgan analysts have estimated that the supply of U.S. government debt issued to the private sector with a maturity longer than one year would decline next year compared to 2025, even if the U.S. budget deficit is expected to remain roughly unchanged. Demand for T-bills is expected to get a boost as well. The Fed has ended its balance sheet rundown, meaning it will be again an active buyer of bonds, particularly short-dated debt. And the Trump administration's embrace of cryptocurrencies has created a new significant buyer of such debt - stablecoin issuers. Bessent said in November that the stablecoin market, valued at around $300 billion, could grow tenfold by the end of the decade, increasing demand for Treasury bills. ""I feel like there's less uncertainty in the bond market; there's just more equalization in terms of supply and demand,"" said Ayako Yoshioka, portfolio consulting director at Wealth Enhancement Group. ""It's been a little odd, but it's worked so far."" The question for many market participants, however, is how long it can last. Meghan Swiber, senior US rates strategist at BofA, said the bond market's current stability relied on a ""tenuous balance"" of subdued inflation expectations and Treasury's reliance on shorter-maturity issuance, which has helped keep supply concerns in check. If inflation surges and the Fed turns hawkish, she said, Treasuries could lose their diversification appeal, rekindling demand concerns. The reliance on T-bills to fund the deficit also has risks, and some sources of demand such as stablecoins are volatile. Stephen Miran, the head of the White House Council of Economic Advisers who is currently serving as a Fed governor, criticized the Biden administration last year for the same approach Bessent is taking now: leaning on T-bills to fund the deficit. Miran argued at the time that it meant the government was piling up short-term debt that it might have to refinance at much higher costs if interest rates suddenly spike. When reached for comment, Miran, who as Fed governor has been voting for the central bank to aggressively cut rates, declined to comment beyond referring Reuters to a September speech in which he forecast that national borrowing would decline. Stephen Douglass, chief economist of NISA Investment Advisors, said the currency depreciation and spike in yields in the aftermath of Trump's April tariff announcement was something that's typically seen only in emerging markets, and it spooked the administration. ""It has been a meaningful constraint,"" Douglass said.",RELIANCE,RELIANCE.NS,1554.9000244140625,1558.0999755859375,1543.5999755859375,1545.5999755859375,5969577,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-29,"Encora buyout widens healthcare, high-tech play for Coforge: Rahul Jain",Economic Times,"Encora buyout widens healthcare, high-tech play for Coforge: Rahul Jain

Coforge's acquisition of Encora significantly boosts its revenue by over 30% and strengthens its position in healthcare and high-tech verticals. Funded primarily through a share swap, the deal is expected to result in minimal dilution, with potential for strong returns if execution remains robust.",RELIANCE,RELIANCE.NS,1554.9000244140625,1558.0999755859375,1543.5999755859375,1545.5999755859375,5969577,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
ITC,2025-12-29,"Bitcoin climbs to $90,000, Ethereum reclaims $3,000 as crypto market rallies",Economic Times,"Bitcoin climbs to $90,000, Ethereum reclaims $3,000 as crypto market rallies

Bitcoin and Ethereum rebound sharply as bullish momentum returns, with analysts eyeing key resistance levels and year-end market drivers.",ITC,ITC.NS,404.1000061035156,404.79998779296875,401.45001220703125,402.6000061035156,6645808,,,,,,,,,,,,0
Reliance Industries,2025-12-29,Copper on fire: Why prices are at record highs and what’s next,Economic Times,"Copper on fire: Why prices are at record highs and what’s next

Copper prices surged to record highs in late 2025 due to a confluence of factors including US Federal Reserve easing, trade policy arbitrage, and significant supply disruptions. Electrification and AI-driven demand further fueled the rally, creating a deficit that is expected to persist. India's robust domestic demand and import reliance also contributed to its record prices.",RELIANCE,RELIANCE.NS,1554.9000244140625,1558.0999755859375,1543.5999755859375,1545.5999755859375,5969577,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-29,John Cockerill India shares surge 5% for second straight day after Ramesh Damani’s bulk deal,Economic Times,"John Cockerill India shares surge 5% for second straight day after Ramesh Damani’s bulk deal

John Cockerill India shares jumped nearly 5% after veteran investor Ramesh Damani bought shares via a bulk deal, extending a two-day rally. The move lifted investor sentiment, supported by strong long-term returns and bullish technical signals, though valuations remain elevated at current levels.",RELIANCE,RELIANCE.NS,1554.9000244140625,1558.0999755859375,1543.5999755859375,1545.5999755859375,5969577,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-29,"$5 trillion in gold? At record high prices, India's household gold could now be bigger than GDP",Economic Times,"$5 trillion in gold? At record high prices, India's household gold could now be bigger than GDP

India's household gold reserves have surged past $5 trillion, exceeding the nation's GDP, as record gold prices reflect cultural significance and a safe-haven appeal. While central banks also fuel the rally, this vast, largely idle asset presents a policy challenge in unlocking its value for economic growth.",RELIANCE,RELIANCE.NS,1554.9000244140625,1558.0999755859375,1543.5999755859375,1545.5999755859375,5969577,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
HDFC Bank,2025-12-29,HDFC Bank Share Price Live Updates: HDFC Bank's Price Fluctuation,Economic Times,"HDFC Bank Share Price Live Updates: HDFC Bank's Price Fluctuation

",HDFCBANK,HDFCBANK.NS,993.0999755859375,997.4000244140625,987.2000122070312,991.7000122070312,13543771,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,0
Infosys,2025-12-29,Infosys Share Price Live Updates: Infosys Current Price Update,Economic Times,"Infosys Share Price Live Updates: Infosys Current Price Update

",INFY,INFY.NS,1658.0,1673.0999755859375,1637.0999755859375,1644.699951171875,4062511,INFY,2026-01-02,665352.0,1641.0,1983,24.8,223.0,2.62,40.6,30.3,5.0,0
ICICI Bank,2025-12-29,ICICI Bank Share Price Live Updates: ICICI Bank's Market Performance Today,Economic Times,"ICICI Bank Share Price Live Updates: ICICI Bank's Market Performance Today

",ICICIBANK,ICICIBANK.NS,1352.0999755859375,1355.699951171875,1341.5,1343.300048828125,6057068,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
ITC,2025-12-29,ITC Share Price Live Updates: ITC's New Target Price Set by Motilal Oswal,Economic Times,"ITC Share Price Live Updates: ITC's New Target Price Set by Motilal Oswal

",ITC,ITC.NS,404.1000061035156,404.79998779296875,401.45001220703125,402.6000061035156,6645808,,,,,,,,,,,,0
TCS,2025-12-29,TCS reboot on to become ready for AI-led future: COO Aarthi Subramanian,Economic Times,"TCS reboot on to become ready for AI-led future: COO Aarthi Subramanian

Tata Consultancy Services is preparing for an AI-driven future with a major internal and market reset. The company is shifting from AI pilots to scaled deployments focused on return on investment. TCS aims to become the world's largest AI-led technology services company.",TCS,TCS.NS,3280.0,3288.0,3242.89990234375,3251.5,2079253,TCS,2026-01-02,1176133.0,3250.0,4323,24.5,235.0,1.85,78.4,65.0,1.0,0
Reliance Industries,2025-12-30,Russian oil flows to India sink but RIL may limit fall,Economic Times,"Russian oil flows to India sink but RIL may limit fall

",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-30,RIL’s ₹4.5 lkh cr surge sets stage for big IPO moment,Economic Times,"RIL’s ₹4.5 lkh cr surge sets stage for big IPO moment

",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-30,Fed repo borrowing jumps as quarter-end pressure stirs money market,Economic Times,"Fed repo borrowing jumps as quarter-end pressure stirs money market

A key overnight liquidity facility operated by the US Federal Reserve saw a notable pickup in usage at the start of the week, highlighting renewed demand for short-term funding as markets approach a quarter-end period.Data released by the New York Federal Reserve showed that the central bank lent $25.95 billion on Monday through its standing repo operations. This marked the third-highest level of utilisation since the facility was introduced in 2021 to provide rapid, collateral-backed funding to eligible financial institutions. The loans are secured against US Treasuries or mortgage-backed securities and are extended on an overnight basis.The borrowing was conducted at an interest rate of 3.75%, which sits at the upper end of the Federal Reserve’s current policy rate target range of 3.50% to 3.75%. Elevated usage of the facility often reflects tighter conditions in private funding markets, where borrowing costs can temporarily rise above the rates offered by the central bank.Money markets are prone to bouts of volatility around quarter-end, as banks and financial institutions adjust balance sheets and manage regulatory requirements. The latest usage level was last exceeded on December 1, when borrowing touched $26 billion, and remains well below the all-time high of $50.35 billion recorded on October 31.The standing repo facility was created to act as a liquidity backstop, ensuring that short-term funding markets continue to function smoothly during periods of stress. By offering funding at a known rate against high-quality collateral, the Fed aims to prevent sudden spikes in market rates and reinforce the transmission of monetary policy.Alongside the increase in repo borrowing, data showed a decline in the use of the Fed’s reverse repo facility, where financial institutions park excess cash with the central bank. On Monday, firms placed $10.55 billion in the reverse repo window, down sharply from $20.34 billion on Friday, suggesting a modest shift in liquidity conditions.Together, the movements in the Fed’s repo and reverse repo facilities underscore the dynamic nature of short-term funding markets and the central bank’s role in smoothing liquidity as financial conditions evolve.(Disclaimer: Recommendations, suggestions, views, and opinions given by experts are their own. These do not represent the views of The Economic Times.)",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
ITC,2025-12-30,"Crypto market cap slips over 2%; Bitcoin near $87,000, Ethereum at $2,930 amid thin year-end volumes",Economic Times,"Crypto market cap slips over 2%; Bitcoin near $87,000, Ethereum at $2,930 amid thin year-end volumes

Crypto markets dip over 2% amid thinning year-end volumes, with Bitcoin trading near $87K and Ethereum at $2,952. Analysts cite macro caution, technical resistance, and profit-taking in precious metals. Altcoins face mixed movements, while global liquidity signals keep crypto in consolidation ahead of 2026.",ITC,ITC.NS,403.0,403.45001220703125,400.29998779296875,400.6000061035156,12340284,,,,,,,,,,,,1
Reliance Industries,2025-12-30,$16.5 billion in a year! Mukesh Ambani leads India’s 2025 billionaire wealth surge,Economic Times,"$16.5 billion in a year! Mukesh Ambani leads India’s 2025 billionaire wealth surge

Mukesh Ambani led India's billionaire wealth surge in 2025, adding $16.5 billion as Reliance Industries rallied nearly 30%. Gautam Adani also saw his fortune grow by $5.9 billion following a clean chit from Sebi. Conversely, Shiv Nadar and Azim Premji experienced wealth declines amid IT stock downturns.",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
HDFC Bank,2025-12-30,HDFC Bank Share Price Live Updates: HDFC Bank's Latest Market Performance,Economic Times,"HDFC Bank Share Price Live Updates: HDFC Bank's Latest Market Performance

",HDFCBANK,HDFCBANK.NS,990.2000122070312,995.0,982.2000122070312,990.9000244140625,33152344,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,1
TCS,2025-12-30,TCS Share Price Live Updates: TCS Price Movement Analysis,Economic Times,"TCS Share Price Live Updates: TCS Price Movement Analysis

",TCS,TCS.NS,3250.0,3267.5,3239.5,3246.800048828125,2807103,TCS,2026-01-02,1176133.0,3250.0,4323,24.5,235.0,1.85,78.4,65.0,1.0,0
Reliance Industries,2025-12-30,Jio Financial Services Share Price Live Updates: Jio Financial Services Daily Market Update,Economic Times,"Jio Financial Services Share Price Live Updates: Jio Financial Services Daily Market Update

",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
ICICI Bank,2025-12-30,ICICI Bank Share Price Live Updates: ICICI Bank Trading Insights,Economic Times,"ICICI Bank Share Price Live Updates: ICICI Bank Trading Insights

",ICICIBANK,ICICIBANK.NS,1343.300048828125,1347.0999755859375,1338.0999755859375,1342.5,18619937,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,1
Reliance Industries,2025-12-30,AI to add $1.7 trillion to India's economy by 2035: Govt,Economic Times,"AI to add $1.7 trillion to India's economy by 2035: Govt

The economic impact will be driven by AI adoption across sectors including healthcare, agriculture, manufacturing, financial services, education, governance, and climate services, where automation and data-driven decision-making are already improving productivity and service delivery.",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-30,Reliance Industries chairman Mukesh Ambani unveils AI manifesto; targets 10x productivity boost,Economic Times,"Reliance Industries chairman Mukesh Ambani unveils AI manifesto; targets 10x productivity boost

Reliance Industries chairman Mukesh Ambani unveiled a draft Reliance AI Manifesto, outlining an ambitious plan to transform the conglomerate into an AI-native deep-tech enterprise while driving a tenfold improvement in productivity for over 6 lakh employees and a 10x impact on India's economy and society.",RELIANCE,RELIANCE.NS,1547.0,1553.5999755859375,1537.800048828125,1539.800048828125,8815329,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-31,China says 'successfully completed' Taiwan drills,Economic Times,"China says 'successfully completed' Taiwan drills

",RELIANCE,RELIANCE.NS,1541.0,1577.0,1541.0,1570.4000244140625,5769632,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
ITC,2025-12-31,"Bitcoin drops 5% in 2025, down 30% from October peak. Will institutional inflows and policy support bring stability in 2026?",Economic Times,"Bitcoin drops 5% in 2025, down 30% from October peak. Will institutional inflows and policy support bring stability in 2026?

Bitcoin ended 2025 down 5%, 30% off its October peak, amid volatility and mass liquidations. Experts highlight improved liquidity, low exchange reserves, rising institutional interest, and clearer regulations as potential stabilisers. With major central banks easing and crypto infrastructure expanding, 2026 could see a healthier, more sustainable market recovery.",ITC,ITC.NS,401.1000061035156,403.75,400.8500061035156,403.0,9942502,,,,,,,,,,,,0
Reliance Industries,2025-12-31,"Why stock market rose today? Sensex surges 545 pts, Nifty above 26,100; top 5 factors behind 2025’s final rally",Economic Times,"Why stock market rose today? Sensex surges 545 pts, Nifty above 26,100; top 5 factors behind 2025’s final rally

Indian stocks surged on the final trading day of the year, with the Sensex and Nifty rebounding significantly. This rally was primarily driven by a government decision to impose a three-year safeguard duty on select steel imports, boosting metal stocks. Additionally, easing crude oil prices contributed to the positive sentiment by reducing inflationary pressures.",RELIANCE,RELIANCE.NS,1541.0,1577.0,1541.0,1570.4000244140625,5769632,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-31,Rupee falls 15 paise to 89.90 against US dollar in early trade,Economic Times,"Rupee falls 15 paise to 89.90 against US dollar in early trade

The Indian rupee weakened by 15 paise to 89.90 against the US dollar early Wednesday, primarily due to foreign fund outflows from Indian equities. Forex traders noted continued selling by foreign portfolio investors, impacting the rupee's value. Despite a slightly positive opening in domestic stock markets, the currency faced pressure.",RELIANCE,RELIANCE.NS,1541.0,1577.0,1541.0,1570.4000244140625,5769632,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
HDFC Bank,2025-12-31,"Nifty Bank welcomes Yes Bank, Union Bank as rejig comes into effect today. Which stocks will see outflows?",Economic Times,"Nifty Bank welcomes Yes Bank, Union Bank as rejig comes into effect today. Which stocks will see outflows?

The Nifty Bank index has welcomed Yes Bank and Union Bank today. This structural change will see significant inflows for these new entrants. However, ICICI Bank and HDFC Bank are projected to experience the largest outflows. Other banking stocks will also see adjustments in their index weights.",HDFCBANK,HDFCBANK.NS,991.0,997.5999755859375,987.5999755859375,991.2000122070312,10962561,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,0
ITC,2025-12-31,"Bitcoin near $88K, Ethereum at $2,900 as crypto market ends 2025 on a subdued note",Economic Times,"Bitcoin near $88K, Ethereum at $2,900 as crypto market ends 2025 on a subdued note

Bitcoin and Ethereum are trading at lower levels as 2025 concludes. Analysts anticipate a market recovery by the second quarter of 2026. This shift is expected due to potential interest rate cuts by the US Federal Reserve. Institutional investors may return, boosting crypto prices. The market is currently in a consolidation phase.",ITC,ITC.NS,401.1000061035156,403.75,400.8500061035156,403.0,9942502,,,,,,,,,,,,0
HDFC Bank,2025-12-31,HDFC Bank Share Price Highlights: HDFC Bank Stock Price History,Economic Times,"HDFC Bank Share Price Highlights: HDFC Bank Stock Price History

",HDFCBANK,HDFCBANK.NS,991.0,997.5999755859375,987.5999755859375,991.2000122070312,10962561,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,0
ITC,2025-12-31,India-based Speed raises $8m from Tether and Ego Death Capital to accelerate lightning-powered bitcoin and stablecoin payments,Economic Times,"India-based Speed raises $8m from Tether and Ego Death Capital to accelerate lightning-powered bitcoin and stablecoin payments

Speed, an India-based company, has secured $8 million in funding. This investment will fuel global expansion for its Lightning-powered Bitcoin and stablecoin payment solutions. Speed aims to make crypto useful for everyday commerce. The platform already supports millions of users and has processed billions in Bitcoin payments. Major companies are adopting Speed's technology for instant, low-fee transactions.",ITC,ITC.NS,401.1000061035156,403.75,400.8500061035156,403.0,9942502,,,,,,,,,,,,0
Reliance Industries,2025-12-31,"Taiwan Brokers Freeze Buy Orders for China Military Stocks, ETFs",bloomberg_markets,"Taiwan Brokers Freeze Buy Orders for China Military Stocks, ETFs

Taiwanese brokers will stop taking buy orders for shares and exchange-traded funds linked to Chinese military companies, a sign of worsening tensions after Beijing conducted military drills near the island.",RELIANCE,RELIANCE.NS,1541.0,1577.0,1541.0,1570.4000244140625,5769632,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
